103780	Allium yosemitense	species	Allium	Amaryllidaceae	1934	Eastw.	Leafl. W. Bot. 1: 132 (1934)	Yosemite onion		https://bs.floristic.org/image/o/658173091652950f04d68e05180889e830bc2568											Forb/herb				false	false																	California	Yosemite onion	https://plants.usda.gov/core/profile?symbol=ALYO			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:8911-2	https://identify.plantnet.org/species/the-plant-list/Allium yosemitense Eastw.	https://www.gbif.org/species/2857454			https://en.wikipedia.org/wiki/Allium yosemitense
103782	Allocasuarina acutivalvis	species	Allocasuarina	Casuarinaceae	1982	(F.Muell.) L.A.S.Johnson	J. Adelaide Bot. Gard. 6: 74 (1982)		She-oak family																false	false																Casuarina acutivalvis	Western Australia		https://plants.usda.gov/core/profile?symbol=ALAC8			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:909935-1		https://www.gbif.org/species/2891875			https://en.wikipedia.org/wiki/Allocasuarina acutivalvis
103786	Allocasuarina corniculata	species	Allocasuarina	Casuarinaceae	1982	(F.Muell.) L.A.S.Johnson	J. Adelaide Bot. Gard. 6: 74 (1982)		She-oak family																false	false																Casuarina corniculata,Casuarina horrida	Western Australia		https://plants.usda.gov/core/profile?symbol=ALCO15			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:909937-1		https://www.gbif.org/species/2891825			https://en.wikipedia.org/wiki/Allocasuarina corniculata
103804	Allocasuarina torulosa	species	Allocasuarina	Casuarinaceae	1982	(Aiton) L.A.S.Johnson	J. Adelaide Bot. Gard. 6: 79 (1982)	Forest-oak	She-oak family	https://bs.floristic.org/image/o/bc6c74365586535dfd1d85ce9adb7b6575ec74be															false	false																Casuarina torulosa,Casuarina tenuissima,Casuarina lugubris,Casuarina ericoides,Casuarina torulosa f. gracilior	New South Wales,Queensland	Forest she-oak,Forest-oak,River-oak,Rose she-oak	https://plants.usda.gov/core/profile?symbol=ALTO5			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:909968-1	https://identify.plantnet.org/species/the-plant-list/Allocasuarina torulosa (Aiton) L.A.S.Johnson	https://www.gbif.org/species/2891868			https://en.wikipedia.org/wiki/Allocasuarina torulosa
165579	Philodendron consanguineum	species	Philodendron	Araceae	1856	Schott	Syn. Aroid.: 88 (1856)	Rascagarganta	Arum family	http://d2seqvvyy3b8p2.cloudfront.net/eec255b5e26d1154597e8f7abe0674ef.jpg											Vine, Forb/herb				false	false																Philodendron angustatum,Philodendron krebsii,Philodendron marginatum,Philodendron fuertesii,Philodendron urbanianum,Philodendron wrightii	Cuba,Dominican Republic,Haiti,Leeward Is.,Puerto Rico,Windward Is.		https://plants.usda.gov/core/profile?symbol=PHCO23			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87695-1		https://www.gbif.org/species/2870653			https://en.wikipedia.org/wiki/Philodendron consanguineum
165582	Philodendron cordatum	species	Philodendron	Araceae	1856	Kunth ex Schott	Syn. Aroid.: 95 (1856)	Heartleaf philodendron	Arum family	https://bs.floristic.org/image/o/78e75ce81eebbcae95af52b21fb573ac6edc60e7															false	false																Arum cordatum,Philodendron apparicioi	Brazil Southeast,Brazil West-Central	Heartleaf philodendron	https://plants.usda.gov/core/profile?symbol=PHCO41			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77073767-1	https://identify.plantnet.org/species/the-plant-list/Philodendron cordatum Kunth ex Schott	https://www.gbif.org/species/2871314			https://en.wikipedia.org/wiki/Philodendron cordatum
165583	Philodendron fragrantissimum	species	Philodendron	Araceae	1839	(Hook.) G.Don	R.Sweet, Hort. Brit., ed. 3: 632 (1839)	Shortstem philodendron	Arum family	https://bs.floristic.org/image/o/a349fb0046da6d8cb6a374aeffbe343ea4d1d4c0											Vine, Forb/herb				false	false																Philodendron brevilaminatum,Philodendron poeppigii,Philodendron latipes,Philodendron demerarae,Caladium fragrantissimum,Philodendron clementis,Arosma obtusifolia,Philodendron accrescens	Belize,Bolivia,Brazil North,Brazil Northeast,Brazil Southeast,Colombia,Costa Rica,Cuba,Ecuador,French Guiana,Guatemala,Guyana,Honduras,Nicaragua,Panamá,Peru,Suriname,Trinidad-Tobago,Venezuela	Shortstem philodendron	https://plants.usda.gov/core/profile?symbol=PHFR6	http://legacy.tropicos.org/Name/2103220		http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87769-1	https://identify.plantnet.org/species/the-plant-list/Philodendron fragrantissimum (Hook.) G.Don	https://www.gbif.org/species/2870944			https://en.wikipedia.org/wiki/Philodendron fragrantissimum
165584	Philodendron giganteum	species	Philodendron	Araceae	1856	Schott	Syn. Aroid.: 89 (1856)	Giant philodendron	Arum family	https://bs.floristic.org/image/o/7ea7a0842d556c343209d4efcc4d3c6513a07869											Vine				false	false																	Brazil North,Dominican Republic,Leeward Is.,Puerto Rico,Trinidad-Tobago,Venezuela,Windward Is.	Giant philodendron,Chinabush	https://plants.usda.gov/core/profile?symbol=PHGI2			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87774-1	https://identify.plantnet.org/species/the-plant-list/Philodendron giganteum Schott	https://www.gbif.org/species/2870862			https://en.wikipedia.org/wiki/Philodendron giganteum
165585	Philodendron hederaceum	species	Philodendron	Araceae	1829	(Jacq.) Schott	Wiener Z. Kunst 3: 780 (1829)	Vilevine	Arum family	https://bs.floristic.org/image/o/1ed12b222eab16916c9efb5cb0de9da698b53f3b											Vine, Forb/herb				false	false																Arum hederaceum	Belize,Bolivia,Brazil North,Brazil Northeast,Brazil South,Brazil Southeast,Cayman Is.,Central American Pac,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Jamaica,Leeward Is.,Mexico Central,Mexico Gulf,Mexico Northeast,Mexico Southeast,Mexico Southwest,Nicaragua,Panamá,Peru,Puerto Rico,Suriname,Trinidad-Tobago,Venezuela,Windward Is.,Seychelles,French Guiana,Guyana	Heart-leaf philodendron,Vilevine	https://plants.usda.gov/core/profile?symbol=PHHE17			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87797-1	https://identify.plantnet.org/species/the-plant-list/Philodendron hederaceum (Jacq.) Schott	https://www.gbif.org/species/2871003			https://en.wikipedia.org/wiki/Philodendron hederaceum
165586	Philodendron hederaceum var. hederaceum	var	Philodendron	Araceae	1829	Schott (Jacq.)	Wiener Z. Kunst 3: 780 (1829)	vilevine	Arum family												Forb/herb, Vine				false	false																Philodendron micans,Philodendron scandens,Philodendron cuspidatum,Philodendron subsessile,Philodendron scaberulum,Philodendron prieurianum,Philodendron micans var. brevipes,Philodendron micans var. microphyllum,Philodendron scandens var. cubense,Philodendron isertianum,Philodendron scandens subsp. scandens,Philodendron pittieri,Philodendron miduhoi,Philodendron microphyllum,Philodendron scandens subsp. cubense,Philodendron harlowii,Philodendron oxyprorum,Philodendron scandens f. micans,Philodendron acrocardium,Philodendron scandens var. cuspidatum,Philodendron scandens subsp. prieurianum,Philodendron scandens subsp. isertianum	Belize,Bolivia,Brazil North,Brazil Northeast,Brazil South,Brazil Southeast,Cayman Is.,Central American Pac,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Jamaica,Leeward Is.,Mexico Central,Mexico Gulf,Mexico Northeast,Mexico Southeast,Mexico Southwest,Nicaragua,Panamá,Peru,Puerto Rico,Suriname,Trinidad-Tobago,Venezuela,Windward Is.,Bangladesh,Seychelles,French Guiana,Guyana		https://plants.usda.gov/core/profile?symbol=PHHE17			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77170908-1		https://www.gbif.org/species/7228286			https://en.wikipedia.org/wiki/Philodendron hederaceum var. hederaceum
165593	Philodendron imbe	species	Philodendron	Araceae		Schott ex Kunth.	Enumeratio Plantarum Omnium Hucusque Cognitarum 3: 50. 1841. (Enum. Pl.) 	Philodendron	Arum family																false	false																Calostigma imbe,Caladium imbe,Philodendron callifolium			https://plants.usda.gov/core/profile?symbol=PHIM5					https://www.gbif.org/species/7515063			https://en.wikipedia.org/wiki/Philodendron imbe
165594	Philodendron lingulatum	species	Philodendron	Araceae	1855	(L.) K.Koch	Index Seminum (B, Berolinensis) 1855(App.): 2 (1855)	Treelover	Arum family	http://d2seqvvyy3b8p2.cloudfront.net/b462e5315dbb46ec2d4157fef062b0b8.jpg											Forb/herb, Vine				false	false																Arum lingulatum,Philodendron swartzianum,Monstera lingulata,Philodendron karstenianum var. dispar,Philodendron dispar	Dominican Republic,Leeward Is.,Netherlands Antilles,Puerto Rico,Trinidad-Tobago,Windward Is.		https://plants.usda.gov/core/profile?symbol=PHLI3			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1027729-2		https://www.gbif.org/species/2871047			https://en.wikipedia.org/wiki/Philodendron lingulatum
165596	Philodendron ornatum	species	Philodendron	Araceae	1853	Schott	Oesterr. Bot. Wochenbl. 3: 378 (1853)	Philodendron	Arum family	https://bs.floristic.org/image/o/60d99e35df590d498fef4d291490b01f1577ca81											Vine				false	false																Philodendron dolosum,Philodendron imperiale,Philodendron rubens,Zantedeschia asperata,Philodendron muschlerianum,Philodendron asperatum,Philodendron tobagense	Bolivia,Brazil North,Brazil Northeast,Brazil Southeast,Colombia,Ecuador,French Guiana,Guyana,Peru,Suriname,Trinidad-Tobago,Venezuela,Puerto Rico	Philodendron	https://plants.usda.gov/core/profile?symbol=PHOR8			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87918-1	https://identify.plantnet.org/species/the-plant-list/Philodendron ornatum Schott	https://www.gbif.org/species/2871136			https://en.wikipedia.org/wiki/Philodendron ornatum
165597	Philodendron pinnatifidum	species	Philodendron	Araceae	1829	(Jacq.) Schott	Wiener Z. Kunst 3: 780 (1829)	Comb-leaf philodendron	Arum family	http://d2seqvvyy3b8p2.cloudfront.net/6cf02eaf1026448594d3d19e320e1639.jpg											Vine, Forb/herb				false	false																Caladium pinnatifidum,Philodendron pinnatifidum var. virescens,Philodendron pinnatifidum var. rubropunctatum,Philodendron rubropunctatum	Brazil North,Venezuela,Cuba		https://plants.usda.gov/core/profile?symbol=PHPI7			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87937-1		https://www.gbif.org/species/2870665			https://en.wikipedia.org/wiki/Philodendron pinnatifidum
157552	Monstera adansonii	species	Monstera	Araceae	1830	Schott	Wiener Z. Kunst 4: 1028 (1830)	Adanson's monstera	Arum family	https://bs.floristic.org/image/o/dcb4298d9abfa3a5adb1d2673e3280e571a41c92															false	false																Calla dracontium,Monstera jacquini,Dracontium pertusum,Calla pertusa,Monstera adansonii var. adansonii	Brazil Northeast,Brazil South,Brazil Southeast,Brazil West-Central,Colombia,Costa Rica,Ecuador,French Guiana,Guyana,Honduras,Leeward Is.,Mexico Southwest,Netherlands Antilles,Nicaragua,Panamá,Peru,Suriname,Trinidad-Tobago,Venezuela,Windward Is.,Puerto Rico,Belize,Bolivia,Brazil North	Tarovine,Swiss-cheese-plant,Adanson's monstera	https://plants.usda.gov/core/profile?symbol=MOAD			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87464-1	https://identify.plantnet.org/species/the-plant-list/Monstera adansonii Schott	https://www.gbif.org/species/2868136			https://en.wikipedia.org/wiki/Monstera adansonii
157554	Monstera deliciosa	species	Monstera	Araceae	1849	Liebm.	Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1: 19 (1849)	Tarovine	Arum family	https://bs.floristic.org/image/o/e0526a4477c3b1b2c0b21e79d3ad563748a7ca4d											Vine, Forb/herb				false	false																Philodendron pertusum,Monstera lennea,Monstera deliciosa var. borsigiana,Monstera borsigiana,Monstera tacanaensis,Tornelia fragrans,Monstera deliciosa var. sierrana,Philodendron anatomicum	Costa Rica,Guatemala,Honduras,Mexico Gulf,Mexico Southeast,Mexico Southwest,Nicaragua,Panamá,Ascension,Bangladesh,Cook Is.,Korea,Seychelles,Society Is.,Trinidad-Tobago	Fruit-salad-plant,Monstera,Swiss-cheese-plant,Cut-leaf-philodendron,Mexican-breadfruit,Tarovine,Swiss cheese plant,Windowleaf,Delicious monster,Split Leaf Philodendron,Split-leaf philodendron,Swiss-cheese plant,Window plant,Ceriman,Fruit salad plant,Harpon,Mexican breadfruit,Pine fruit tree	https://plants.usda.gov/core/profile?symbol=MODE			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87478-1	https://identify.plantnet.org/species/the-plant-list/Monstera deliciosa Liebm.	https://www.gbif.org/species/2868241			https://en.wikipedia.org/wiki/Monstera deliciosa
277585	Begonia maculata	species	Begonia	Begoniaceae	1820	Raddi	Alc. Sp. Rett. Piant. Bras.: 406 (1820)		Begonia family	https://bs.floristic.org/image/o/6a90e0f01a6c9c1144c200a0298606f2593fa1f3															false	false																Gaerdtia maculata,Begonia argyrostigma,Begonia maculata var. argentea,Begonia maculata f. argentea,Begonia dichroa,Begonia aculeata,Begonia corallina,Gaerdtia argentea	Brazil Southeast,Argentina Northeast,Cuba,Dominican Republic,Mexico Gulf,Mexico Northeast,Mexico Southeast			http://legacy.tropicos.org/Name/3400563		http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:105130-1	https://identify.plantnet.org/species/the-plant-list/Begonia maculata Raddi	https://www.gbif.org/species/7303475			https://en.wikipedia.org/wiki/Begonia maculata
165590	Philodendron hederaceum var. oxycardium	var	Philodendron	Araceae	2002	Croat (Schott)	R. Govaerts & D. G. Frodin, World checkl. bibliogr. Araceae 388.  2002  (Ann. Missouri Bot. Gard. 84:464.  1997, nom. inval.)	Vilevine	Arum family												Vine, Forb/herb				false	false																Philodendron oxycardium,Philodendron scandens subsp. oxycardium	Honduras,Mexico Gulf,Mexico Northeast,Mexico Southwest		https://plants.usda.gov/core/profile?symbol=PHHE17			http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20007818-1		https://www.gbif.org/species/2871005			https://en.wikipedia.org/wiki/Philodendron hederaceum var. oxycardium
